标准向前行递推法
学号:2022302141211, 其中l<=180, 角度为30度
--------------------------------------
L      M         Pln[l][m]
13     11    0.0180803240590108
13     12    0.0031188428400523
13     13    0.0003531394120898

14     0     1.3920080206964285
14     1     1.2184012650199849
14     2     -1.6853878686432422
14     3     -2.0478215884219271
14     4     0.1983169938796037
14     5     2.2898471557833600
14     6     2.7524286242201041
14     7     2.0434879667600070
14     8     1.1181919646022584
14     9     0.4791915359779776
14     10    0.1646757291920562
14     11    0.0455254322268159
14     12    0.0099634337688264
14     13    0.0016469325775730
14     14    0.0001796950762195

15     0     0.8161162745775893
15     1     2.0058439278790612
15     2     -0.7086010476614174
15     3     -2.3438483249050774
15     4     -0.8952828510077414
15     5     1.5497111187161330
15     6     2.7686102776666863
15     7     2.4935270940359433
15     8     1.5855184614179187
15     9     0.7804146028773395
15     10    0.3086562289882353
15     11    0.0994651844188702
15     12    0.0260683360445495
15     13    0.0054519407087358
15     14    0.0008664582792652
15     15    0.0000913327219996

16     0     0.0207627034508995
16     1     2.2611748965367124
16     2     0.4472260764377934
16     3     -2.0881331950191102
16     4     -1.7981658609242834
16     5     0.5514513636121311
16     6     2.4489303656886152
16     7     2.7905965323844830
16     8     2.0772014461934560
16     9     1.1703939224069368
16     10    0.5272659622498395
16     11    0.1944976917395164
16     12    0.0591910016095080
16     13    0.0147809782158498
16     14    0.0029651559340839
16     15    0.0004543745549318
16     16    0.0000463744088203

17     0     -0.7802153212018169
17     1     1.9160591637274935
17     2     1.4876970686856499
17     3     -1.3337117664358602
17     4     -2.3111523801943208
17     5     -0.5413981632804886
17     6     1.7882019519515253
17     7     2.8410415562681339
17     8     2.5194975344621606
17     9     1.6278654184634578
17     10    0.8308478521494459
17     11    0.3469125710500146
17     12    0.1203309650962738
17     13    0.0347805649960086
17     14    0.0083100700902641
17     15    0.0016041096457797
17     16    0.0002375981419910
17     17    0.0000235257216508

18     0     -1.3716147880517890
18     1     1.0617059137204001
18     2     2.1449128455982009
18     3     -0.2573060410049888
18     4     -2.3115232276854081
18     5     -1.5244461992224239
18     6     0.8534322246115601
18     7     2.5787548529853748
18     8     2.8234931696505252
18     9     2.1078942122196795
18     10    1.2172289603598268
18     11    0.5714629822449148
18     12    0.2232627813311919
18     13    0.0732923337517380
18     14    0.0202147662187822
18     15    0.0046375350790911
18     16    0.0008637462490957
18     17    0.0001239294287995
18     18    0.0000119251148463

19     0     -1.5946375500435057
19     1     -0.0749879086419538
19     2     2.2477552984399156
19     3     0.8806436211511181
19     4     -1.7889286515241880
19     5     -2.1968235535811234
19     6     -0.2195586080694716
19     7     1.9872618949914369
19     8     2.9013931043038661
19     9     2.5433180255656929
19     10    1.6661531885921916
19     11    0.8767269736906429
19     12    0.3829113526754127
19     13    0.1410214522949818
19     14    0.0440452755504862
19     15    0.0116375137667891
19     16    0.0025711976543700
19     17    0.0004631618670330
19     18    0.0000644949195663
19     19    0.0000060405026585

20     0     -1.3894688729282858
20     1     -1.1916029139984221
20     2     1.7678021455184354
20     3     1.7992868604931542
20     4     -0.8550277976079736
20     5     -2.4095712882443538
20     6     -1.2474135108582418
20     7     1.1139784909853612
20     8     2.6870178558287030
20     9     2.8524340980275613
20     10    2.1361133458096004
20     11    1.2597449298212464
20     12    0.6123882033391256
20     13    0.2509785767633770
20     14    0.0876545312140855
20     15    0.0261610714165858
20     16    0.0066436792755485
20     17    0.0014173229142183
20     18    0.0002474378620958
20     19    0.0000334962076255
20     20    0.0000030577714179

21     0     -0.8112645273811068
21     1     -1.9906937070709056
21     2     0.8282666860842657
21     3     2.2681309539490915
21     4     0.2773825216392556
21     5     -2.1057471396768674
21     6     -2.0353638835594521
21     7     0.0713816500431416
21     8     2.1560627200749587
21     9     2.9527561864710177
21     10    2.5653666544483085
21     11    1.7011396460286861
21     12    0.9188413375640797
21     13    0.4169005312592604
21     14    0.1614309544658578
21     15    0.0537279667280125
21     16    0.0153795469289819
21     17    0.0037646659639955
21     18    0.0007772402758153
21     19    0.0001317495935741
21     20    0.0000173648036246
21     21    0.0000015469796608

22     0     -0.0152845499763950
22     1     -2.2591459584006119
22     2     -0.3269353258959907
22     3     2.1668673352012009
22     4     1.3420810480049516
22     5     -1.3410780755895675
22     6     -2.4207659407000683
22     7     -0.9774912507175805
22     8     1.3407683164999122
22     9     2.7789136762776465
22     10    2.8783070270583688
22     11    2.1622654900226377
22     12    1.2987068159675266
22     13    0.6505140822336840
22     14    0.2776794290038592
22     15    0.1021516325106981
22     16    0.0325317625821935
22     17    0.0089592775763944
22     18    0.0021191380730175
22     19    0.0004242502884869
22     20    0.0000699393597606
22     21    0.0000089871396946
22     22    0.0000007822301059

23     0     0.7848149987161769
23     1     -1.9251715009787702
23     2     -1.3962788532178114
23     3     1.5182142444201141
23     4     2.0829805803146284
23     5     -0.2782332757671510
23     6     -2.3137659528867105
23     7     -1.8480053971253247
23     8     0.3340857376252493
23     9     2.3011417562288909
23     10    2.9972314514043226
23     11    2.5859257667591988
23     12    1.7333850803673607
23     13    0.9577888089363445
23     14    0.4490933625030163
23     15    0.1814952187422249
23     16    0.0637231909607160
23     17    0.0194853936302104
23     18    0.0051769053358441
23     19    0.0011857681598248
23     20    0.0002306023108453
23     21    0.0000370257190144
23     22    0.0000046442339341
23     23    0.0000003953434467

24     0     1.3743292695760478
24     1     -1.0776538252443448
24     2     -2.0995004459740394
24     3     0.4844562024975378
24     4     2.3178090824031528
24     5     0.8457794362576525
24     6     -1.7244594469975201
24     7     -2.3721474801887328
24     8     -0.7197065733336401
24     9     1.5398220861198513
24     10    2.8580784799700685
24     11    2.9017359816113228
24     12    2.1866617887729856
24     13    1.3346906159485545
24     14    0.6862164261566042
24     15    0.3034123552234959
24     16    0.1166922546057132
24     17    0.0392526963326761
24     18    0.0115589072258463
24     19    0.0029695842620829
24     20    0.0006599303773460
24     21    0.0001248668879319
24     22    0.0000195523619810
24     23    0.0000023966422763
24     24    0.0000001997201897

25     0     1.5951036348371472
25     1     0.0574004673807634
25     2     -2.2514844969503800
25     3     -0.6722550049648141
25     4     1.9854572080225135
25     5     1.7725863369963160
25     6     -0.7683790658312669
25     7     -2.4376811322899732
25     8     -1.6479570602875742
25     9     0.5715885061410727
25     10    2.4272805191322449
25     11    3.0362989173253023
25     12    2.6052123441242303
25     13    1.7633158805316369
25     14    0.9940334723502252
25     15    0.4796730349837203
25     16    0.2011768135648842
25     17    0.0739479312439374
25     18    0.0239091799747447
25     19    0.0067976979943617
25     20    0.0016922198673381
25     21    0.0003654850745336
25     22    0.0000673780459280
25     23    0.0000103014903934
25     24    0.0000012352011565
25     25    0.0000001008537521

26     0     1.3879396041147207
26     1     1.1770806951197217
26     2     -1.8115290337385757
26     3     -1.6561890959165206
26     4     1.1641529487093489
26     5     2.2835615067671813
26     6     0.3529858962955341
26     7     -2.0186479917133080
26     8     -2.2826870593795041
26     9     -0.4762050575919510
26     10    1.7158743085985921
26     11    2.9271359762352782
26     12    2.9231746107484442
26     13    2.2095460324407261
26     14    1.3681411566864476
26     15    0.7197991784745478
26     16    0.3282294014505006
26     17    0.1312097411783895
26     18    0.0462616978765384
26     19    0.0144175153388032
26     20    0.0039665404130688
26     21    0.0009585575118592
26     22    0.0002015121396241
26     23    0.0000362413217334
26     24    0.0000054160938570
26     25    0.0000006358587128
26     26    0.0000000509094409

27     0     0.8084445850466748
27     1     1.9824153371814104
27     2     -0.8947367385213477
27     3     -2.2140472282231469
27     4     0.0547844658181301
27     5     2.2540289526856938
27     6     1.3937842096581103
27     7     -1.1887441110692414
27     8     -2.4971550250268697
27     9     -1.4434829234297675
27     10    0.7868312358979566
27     11    2.5380554421741706
27     12    3.0710330806679660
27     13    2.6233971145671884
27     14    1.7912643737677083
27     15    1.0279430370223752
27     16    0.5087972623055750
27     17    0.2204558873759993
27     18    0.0843365010215436
27     19    0.0286100392851566
27     20    0.0086154433101639
27     21    0.0022981713708256
27     22    0.0005400190490356
27     23    0.0001106511639630
27     24    0.0000194363965172
27     25    0.0000028420285869
27     26    0.0000003269718043
27     27    0.0000000256893311

28     0     0.0120875164815101
28     1     2.2582500094189184
28     2     0.2577500170779268
28     3     -2.2009465050083232
28     4     -1.0673941573664729
28     5     1.6864859137244910
28     6     2.1187730693490545
28     7     -0.1125618368988400
28     8     -2.2375715537392740
28     9     -2.1657387339407772
28     10    -0.2475813224936687
28     11    1.8726751049049284
28     12    2.9880282001346039
28     13    2.9429620909535910
28     14    2.2311130600891422
28     15    1.3994093145971649
28     16    0.7515117290829654
28     17    0.3521834995597974
28     18    0.1456553392442995
28     19    0.0535066349345339
28     20    0.0175112011841275
28     21    0.0051061737877678
28     22    0.0013229595712297
28     23    0.0003027119335930
28     24    0.0000605309226236
28     25    0.0000103956631082
28     26    0.0000014886402668
28     27    0.0000001679657974
28     28    0.0000000129588426

29     0     -0.7875202433444757
29     1     1.9307985532993102
29     2     1.3420260450634605
29     3     -1.6189442610394849
29     4     -1.9210913548677060
29     5     0.7135063153754049
29     6     2.3588941711378779
29     7     0.9852068703650372
29     8     -1.5417490613207325
29     9     -2.5075258153568720
29     10    -1.2397456811103982
29     11    0.9824883503886463
29     12    2.6361943020849092
29     13    3.1022340261596213
29     14    2.6406170870457371
29     15    1.8174948130612367
29     16    1.0598139686058834
29     17    0.5366023578982313
29     18    0.2393242065227576
29     19    0.0948366688520069
29     20    0.0335518431490483
29     21    0.0106179496474806
29     22    0.0030037468667707
29     23    0.0007570810789999
29     24    0.0001689099220078
29     25    0.0000329983125977
29     26    0.0000055462691029
29     27    0.0000007784420199
29     28    0.0000000862030938
29     29    0.0000000065350397

30     0     -1.3759232466698219
30     1     1.0874519821836321
30     2     2.0716042910990651
30     3     -0.6176407940378862
30     4     -2.2902122583661102
30     5     -0.4316258091236525
30     6     2.0537012349287518
30     7     1.8669599285443825
30     8     -0.5387572846616193
30     9     -2.3940052515737356
30     10    -2.0307461232963457
30     11    -0.0336030596548734
30     12    2.0132211592670655
30     13    3.0422242528618084
30     14    2.9613581172620185
30     15    2.2515212265320015
30     16    1.4287768719523366
30     17    0.7815613007330441
30     18    0.3753262534345101
30     19    0.1599934103426492
30     20    0.0609437329444411
30     21    0.0208176003790814
30     22    0.0063835212721452
30     23    0.0017549244481434
30     24    0.0004309020892594
30     25    0.0000938514403547
30     26    0.0000179312961425
30     27    0.0000029521613343
30     28    0.0000004064323328
30     29    0.0000000442021891
30     30    0.0000000032946366

31     0     -1.5953317767669046
31     1     -0.0464897280835962
31     2     2.2532992638947436
31     3     0.5437494920395721
31     4     -2.0796780735677456
31     5     -1.4702839249281106
31     6     1.2694003900292479
31     7     2.3355505122511615
31     8     0.5722846116803720
31     9     -1.8328960382762749
31     10    -2.4806550746475851
31     11    -1.0399341557854920
31     12    1.1609208943802296
31     13    2.7238135459754353
31     14    3.1305105570789631
31     15    2.6569840649654579
31     16    1.8422209311917865
31     17    1.0898888969571667
31     18    0.5632066906316487
31     19    0.2577812384582610
31     20    0.1054067165871433
31     21    0.0387027811404827
31     22    0.0127929444179689
31     23    0.0038079755502933
31     24    0.0010188821679494
31     25    0.0002440277884254
31     26    0.0000519426866783
31     27    0.0000097148783543
31     28    0.0000015679767713
31     29    0.0000002118951030
31     30    0.0000000226468828
31     31    0.0000000016605500

32     0     -1.3869241071822034
32     1     -1.1679779251878371
32     2     1.8386419806138787
32     3     1.5633187216276594
32     4     -1.3411017859262517
32     5     -2.1466841964316452
32     6     0.1868276516902477
32     7     2.2812941246849308
32     8     1.5611918536135958
32     9     -0.9205280523317533
32     10    -2.4990523956368174
32     11    -1.8844162961075726
32     12    0.1663871683314275
32     13    2.1399293633140606
32     14    3.0908565867351570
32     15    2.9785656299793963
32     16    2.2709011049784507
32     17    1.4564736394400470
32     18    0.8101220018064085
32     19    0.3977068077929488
32     20    0.1741980229359608
32     21    0.0685361544421763
32     22    0.0243160382898109
32     23    0.0077929105764669
32     24    0.0022553881585085
32     25    0.0005881310162647
32     26    0.0001375585693017
32     27    0.0000286436363698
32     28    0.0000052487820963
32     29    0.0000008311176031
32     30    0.0000001103227549
32     31    0.0000000115941595
32     32    0.0000000008367364

33     0     -0.8066038634727055
33     1     -1.9772055423485118
33     2     0.9370679428116766
33     3     2.1750845903383791
33     4     -0.2611335651766098
33     5     -2.2919643578258770
33     6     -0.9389892344936067
33     7     1.7107933825962038
33     8     2.2157314977725626
33     9     0.1711945679578797
33     10    -2.0688277409803586
33     11    -2.4256886251614111
33     12    -0.8459663999530630
33     13    1.3241837886517442
33     14    2.8025803549587556
33     15    3.1563347021786217
33     16    2.6725906024598274
33     17    1.8656181541132488
33     18    1.1183689918293627
33     19    0.5887135574365210
33     20    0.2758315384909390
33     21    0.1160131971186338
33     22    0.0440348979622273
33     23    0.0151283973180420
33     24    0.0047090740890291
33     25    0.0013270498748069
33     26    0.0003376746391437
33     27    0.0000772092053725
33     28    0.0000157420728970
33     29    0.0000028284982986
33     30    0.0000004397091079
33     31    0.0000000573664205
33     32    0.0000000059313928
33     33    0.0000000004215257

34     0     -0.0099944606454585
34     1     -2.2577775769375314
34     2     -0.2127689899759878
34     3     2.2187478159202256
34     4     0.8851212585971407
34     5     -1.8677614987881241
34     6     -1.8387739286685618
34     7     0.7495234796999792
34     8     2.3898081583737460
34     9     1.2258507097506994
34     10    -1.2569584148427162
34     11    -2.5620996168217189
34     12    -1.7315273913026881
34     13    0.3532464360246719
34     14    2.2547669226651785
34     15    3.1348126223759087
34     16    2.9947460506539496
34     17    2.2893617191802544
34     18    1.4826895684371428
34     19    0.8373415676099807
34     20    0.4193713301967089
34     21    0.1882504953149450
34     22    0.0762528213999838
34     23    0.0279875503556861
34     24    0.0093282640327297
34     25    0.0028245975767508
34     26    0.0007760847389880
34     27    0.0001929149300563
34     28    0.0000431632028742
34     29    0.0000086243100455
34     30    0.0000015205557276
34     31    0.0000002322202112
34     32    0.0000000297942508
34     33    0.0000000030323496
34     34    0.0000000002123069

35     0     0.7892996301573388
35     1     -1.9346140108581906
35     2     -1.3060742156776184
35     3     1.6821683508463507
35     4     1.8040605860716765
35     5     -0.9776962513088561
35     6     -2.2942290823017055
35     7     -0.3838274464174762
35     8     2.0392965422580129
35     9     2.0260596116567235
35     10    -0.2082402683092724
35     11    -2.2563206466848342
35     12    -2.3496775846780706
35     13    -0.6589358575046314
35     14    1.4740539636305541
35     15    2.8738258256536806
35     16    3.1800785024480347
35     17    2.6875142789290032
35     18    1.8878323170232814
35     19    1.1454229615396712
35     20    0.6132135519480596
35     21    0.2934829839051950
35     22    0.1266292146832202
35     23    0.0495236404726502
35     24    0.0176127188899557
35     25    0.0057046683684478
35     26    0.0016827084021061
35     27    0.0004513152728081
35     28    0.0001097051916470
35     29    0.0000240402100686
35     30    0.0000047109064558
35     31    0.0000008155747366
35     32    0.0000001224370592
35     33    0.0000000154568097
35     34    0.0000000015492589
35     35    0.0000000001069090

36     0     1.3769697136760382
36     1     -1.0940802673128862
36     2     -2.0527164047286637
36     3     0.7051781711821135
36     4     2.2590846813549064
36     5     0.1568790341547694
36     6     -2.1924391813409247
36     7     -1.4263526849174615
36     8     1.2361777399810692
36     9     2.4004890809783648
36     10    0.8784935080304774
36     11    -1.5495035800315831
36     12    -2.5909637287977261
36     13    -1.5754873400233518
36     14    0.5279047177437669
36     15    2.3593491745868311
36     16    3.1747979214452697
36     17    3.0100297804683493
36     18    2.3069951061455547
36     19    1.5075835182420134
36     20    0.8633464645684584
36     21    0.4403628402853831
36     22    0.2021376019517379
36     23    0.0840674463849875
36     24    0.0318148276300025
36     25    0.0109833162424559
36     26    0.0034622484209411
36     27    0.0009961178918871
36     28    0.0002610792282578
36     29    0.0000621180697092
36     30    0.0000133428393735
36     31    0.0000025661548317
36     32    0.0000004365159507
36     33    0.0000000644535266
36     34    0.0000000080102836
36     35    0.0000000007910545
36     36    0.0000000000538244

37     0     1.5954600375003898
37     1     0.0390621305411809
37     2     -2.2543164224998180
37     3     -0.4565361848218742
37     4     2.1320889773596257
37     5     1.2514019052273968
37     6     -1.5555057716236742
37     7     -2.1322940936716046
37     8     0.1563082484796064
37     9     2.2636433232964168
37     10    1.7880455475968287
37     11    -0.5604952058340809
37     12    -2.4017887951884398
37     13    -2.2580649915096900
37     14    -0.4793988098329224
37     15    1.6120645364687787
37     16    2.9386256150235672
37     17    3.2020394711542477
37     18    2.7018208351381858
37     19    1.9089860231980706
37     20    1.1711937262404077
37     21    0.6367865135866430
37     22    0.3107455687025373
37     23    0.1372330965707148
37     24    0.0551474383313888
37     25    0.0202348757868065
37     26    0.0067919663796626
37     27    0.0020865528972440
37     28    0.0005862151128435
37     29    0.0001502936618361
37     30    0.0000350316232460
37     31    0.0000073814050848
37     32    0.0000013942243958
37     33    0.0000002331664221
37     34    0.0000000338797606
37     35    0.0000000041470780
37     36    0.0000000004036833
37     37    0.0000000000270934

38     0     1.3862023754765427
38     1     1.1617398627833153
38     2     -1.8571014324840602
38     3     -1.4982113650024267
38     4     1.4547938333794062
38     5     2.0295084613106793
38     6     -0.5372910121620527
38     7     -2.3322336096362819
38     8     -0.9576956068989431
38     9     1.6386255450233866
38     10    2.3331507767883730
38     11    0.5314825029085799
38     12    -1.8008896479539731
38     13    -2.5921007747435052
38     14    -1.4187234406884053
38     15    0.6912944601511334
38     16    2.4550136194183878
38     17    3.2113807274186841
38     18    3.0245236100403683
38     19    2.3238797217647700
38     20    1.5312897308928295
38     21    0.8882458128158832
38     22    0.4607212330648123
38     23    0.2158502493620956
38     24    0.0919577376255383
38     25    0.0357821225987181
38     26    0.0127517685598488
38     27    0.0041676006393171
38     28    0.0012492869977603
38     29    0.0003431011778331
38     30    0.0000861240296073
38     31    0.0000196817883098
38     32    0.0000040709634533
38     33    0.0000007556498885
38     34    0.0000001243115087
38     35    0.0000000177840024
38     36    0.0000000021449952
38     37    0.0000000002058924
38     38    0.0000000000136356

39     0     0.8053085866551443
39     1     1.9736272187970767
39     2     -0.9663994527158708
39     3     -2.1460102640394174
39     4     0.4014335039998075
39     5     2.2933208306700430
39     6     0.6127562908929930
39     7     -1.9754834190632808
39     8     -1.8508040287406187
39     9     0.6564190330889311
39     10    2.3958728102323259
39     11    1.5186372309196314
39     12    -0.8829121591197474
39     13    -2.5110651319759159
39     14    -2.1550600432363463
39     15    -0.3075619674128518
39     16    1.7395385324205712
39     17    2.9978584456161599
39     18    3.2224586088688012
39     19    2.7155665189810270
39     20    1.9291833735892643
39     21    1.1958034534192539
39     22    0.6595031333877315
39     23    0.3276305750409512
39     24    0.1478073596130439
39     25    0.0608873272166622
39     26    0.0229844505490985
39     27    0.0079678922504694
39     28    0.0025389163838073
39     29    0.0007434504299620
39     30    0.0001997852226713
39     31    0.0000491415932589
39     32    0.0000110187180478
39     33    0.0000022387294959
39     34    0.0000004086087023
39     35    0.0000000661579172
39     36    0.0000000093228131
39     37    0.0000000011084648
39     38    0.0000000001049584
39     39    0.0000000000068613

40     0     0.0085184108000294
40     1     2.2574985087407708
40     2     0.1811698302784757
40     3     -2.2292086270117548
40     4     -0.7556666256717038
40     5     1.9745563555490906
40     6     1.6103583258860026
40     7     -1.1446661411817374
40     8     -2.3148719484247806
40     9     -0.4695814320776288
40     10    1.9564154261991791
40     11    2.2052712505974541
40     12    0.1933025133348151
40     13    -2.0144426226530356
40     14    -2.5708197428383750
40     15    -1.2629563669013115
40     16    0.8443126559934200
40     17    2.5428764062440954
40     18    3.2450239951438049
40     19    3.0383160613404772
40     20    2.3400830264417638
40     21    1.5539226985130941
40     22    0.9121344413557597
40     23    0.4804834070150851
40     24    0.2293824885767921
40     25    0.0999047466808421
40     26    0.0398751363576505
40     27    0.0146273973024318
40     28    0.0049395739645449
40     29    0.0015363837033382
40     30    0.0004399206129263
40     31    0.0001157769962285
40     32    0.0000279273362961
40     33    0.0000061482434135
40     34    0.0000012277906825
40     35    0.0000002204699753
40     36    0.0000000351495254
40     37    0.0000000048811586
40     38    0.0000000005723333
40     39    0.0000000000534789
40     40    0.0000000000034520

41     0     -0.7905583955816405
41     1     1.9373698956551466
41     2     1.2804907417516582
41     3     -1.7254665578675419
41     4     -1.7163662964283797
41     5     1.1530415079193905
41     6     2.2069488893001652
41     7     -0.0380248396136587
41     8     -2.2387925052565762
41     9     -1.4891901731692143
41     10    1.1018318961704483
41     11    2.4490559593952428
41     12    1.2309357999560930
41     13    -1.1747130026029458
41     14    -2.5893314313237532
41     15    -2.0439236128415699
41     16    -0.1434061927069286
41     17    1.8576195413185443
41     18    3.0522492435646447
41     19    3.2415334030383867
41     20    2.7287998702752514
41     21    1.9485135451987128
41     22    1.2193574166951882
41     23    0.6814262810974678
41     24    0.3441500012248717
41     25    0.1583379001932023
41     26    0.0667266160694275
41     27    0.0258516646876691
41     28    0.0092291896067957
41     29    0.0030398288874797
41     30    0.0009239211780318
41     31    0.0002589330263408
41     32    0.0000667924651215
41     33    0.0000158113543011
41     34    0.0000034198560018
41     35    0.0000006716319052
41     36    0.0000001187127601
41     37    0.0000000186450232
41     38    0.0000000025526141
41     39    0.0000000002952746
41     40    0.0000000000272362
41     41    0.0000000000017365

42     0     -1.3777087146719702
42     1     1.0988619804151358
42     2     2.0390762602913926
42     3     -0.7671025016581543
42     4     -2.2306981648800273
42     5     0.0374257892522409
42     6     2.2523513727615692
42     7     1.0770719890831184
42     8     -1.6370125920956584
42     9     -2.1714817263932917
42     10    0.0112801055483389
42     11    2.1937361025635953
42     12    2.0317476137967825
42     13    -0.1304167246897240
42     14    -2.1936855086864324
42     15    -2.5314774474036930
42     16    -1.1093945939949916
42     17    0.9878017899663930
42     18    2.6238758076043154
42     19    3.2761088322297582
42     20    3.0514813121063948
42     21    2.3556634780977150
42     22    1.5755808803803442
42     23    0.9350952965987467
42     24    0.4996834447412507
42     25    0.2427307718771345
42     26    0.1078923321921489
42     27    0.0440808997057972
42     28    0.0166041280961608
42     29    0.0057768264864552
42     30    0.0018579665862905
42     31    0.0005523695488381
42     32    0.0001516473370854
42     33    0.0000383703531875
42     34    0.0000089199558008
42     35    0.0000018966083071
42     36    0.0000003665077473
42     37    0.0000000637967629
42     38    0.0000000098752452
42     39    0.0000000013333970
42     40    0.0000000001522195
42     41    0.0000000000138650
42     42    0.0000000000008734

43     0     -1.5955391940637920
43     1     -0.0336799893822785
43     2     2.2549430460599633
43     3     0.3934528876460340
43     4     -2.1642354536463122
43     5     -1.0874027578464995
43     6     1.7335624050918048
43     7     1.9286372207684337
43     8     -0.6487117503722931
43     9     -2.3584982820303391
43     10    -1.0802294953830576
43     11    1.4852494115803199
43     12    2.4360047344078333
43     13    0.9349044670651613
43     14    -1.4363243898864126
43     15    -2.6411251986995583
43     16    -1.9271855672512497
43     17    0.0132312332641129
43     18    1.9672985045981952
43     19    3.1024014165901179
43     20    3.2594273741668189
43     21    2.7415630994969447
43     22    1.9670535399183648
43     23    1.2419469940290400
43     24    0.7026121063929233
43     25    0.3603161664540057
43     26    0.1688133549799048
43     27    0.0726505961823163
43     28    0.0288273778240434
43     29    0.0105725008437464
43     30    0.0035890689676130
43     31    0.0011283651178680
43     32    0.0003284301030598
43     33    0.0000883988423903
43     34    0.0000219550191980
43     35    0.0000050153029021
43     36    0.0000010488914753
43     37    0.0000001995425944
43     38    0.0000000342213163
43     39    0.0000000052228474
43     40    0.0000000006957764
43     41    0.0000000000784147
43     42    0.0000000000070552
43     43    0.0000000000004392

44     0     -1.3856636111133880
44     1     -1.1571987158618824
44     2     1.8704814001289307
44     3     1.4500463903556806
44     4     -1.5336417742108766
44     5     -1.9330084808170755
44     6     0.7793808554505302
44     7     2.3069557472370614
44     8     0.4931269716863084
44     9     -2.0037482224175314
44     10    -1.9324319516204966
44     11    0.4664240016478498
44     12    2.3573411798381314
44     13    1.8249848652373164
44     14    -0.4361250341983678
44     15    -2.3421026720696640
44     16    -2.4776469386435802
44     17    -0.9588735347729612
44     18    1.1225417273348399
44     19    2.6988059759768062
44     20    3.3049519281103730
44     21    3.0640821279544901
44     22    2.3706720893178947
44     23    1.5963495818687388
44     24    0.9572013621375020
44     25    0.5183528155895522
44     26    0.2558933887741009
44     27    0.1159067178663834
44     28    0.0483876554780636
44     29    0.0186760854704733
44     30    0.0066778189119598
44     31    0.0022143907708319
44     32    0.0006811762444364
44     33    0.0001942758261213
44     34    0.0000513028518954
44     35    0.0000125152352399
44     36    0.0000028109431937
44     37    0.0000005785367709
44     38    0.0000001084027057
44     39    0.0000000183244883
44     40    0.0000000027584928
44     41    0.0000000003626920
44     42    0.0000000000403666
44     43    0.0000000000035886
44     44    0.0000000000002209

45     0     -0.8043478991348048
45     1     -1.9710185884981350
45     2     0.9879262916712308
45     3     2.1235849128606077
45     4     -0.5028922769472727
45     5     -2.2816280129109234
45     6     -0.3708410525032816
45     7     2.1172110264671975
45     8     1.5161199776937597
45     9     -1.1856961507803196
45     10    -2.3537527218630925
45     11    -0.6499889625090023
45     12    1.8044583932593468
